time;Italey;Spain;France;Germany;Turkey;Italey_fitted;Spain_fitted;France_fitted;Germany_fitted;Turkey_fitted
0;74;57;61;38;167;155.0;155.0;155.0;155.0;155.0
1;74;57;61;38;167;171.15995473349835;171.51945142264785;170.7901459920658;170.77584069480642;170.11885642492126
2;93;37;21;52;311;189.0041416018363;189.79893353680015;188.1882191455538;188.15666911185954;186.7118181355496
3;131;141;76;109;566;208.7079712638466;210.02583882357453;207.3578186243489;207.30562877648657;204.92248897392943
4;202;100;138;185;293;230.46509713136956;232.40748475274916;228.4791605491242;228.40241674787532;224.9084377107755
5;233;173;190;150;343;254.4892988368924;257.17321693170743;251.75075310836004;251.64495034556955;246.8425473945756
6;240;400;332;163;561;281.01658192522024;284.576759930337;277.3912576319484;277.2512186772302;270.91450241712283
7;566;622;177;265;1196;310.3074653748485;314.89878165534185;305.64151479797334;305.4612980480738;297.3324131917599
8;342;582;286;184;2069;342.64952389173266;348.4497518239915;336.76678736001963;336.5395825405778;326.3245935900307
9;466;0;372;271;1704;378.3601827098196;385.5730894797324;371.0592222090485;370.77723225400183;358.1415143743381
10;587;2955;510;802;1815;417.7897999837246;426.64864255953114;408.8405581426269;408.49486545302585;393.0579392047402
11;769;1159;0;693;1610;461.3250647761253;472.0965318756287;450.4651036789577;450.0455186760454;431.3752654703745
12;778;1407;1388;733;2704;509.3927382164731;522.3813901340186;496.3230090205909;495.81789862272956;473.4240881451469
13;1247;2144;815;1043;2148;562.4637773950359;578.0170514237277;546.8438585642419;546.2399518782622;519.5669996238199
14;1492;1806;36;1174;2456;621.0578798482144;639.5717197629259;602.5006281470805;601.782796379687;570.201667486291
15;1797;2162;2151;1144;2786;685.7484822954505;707.6736742572077;663.814018652463;662.9650256657383;625.7641894775115
16;977;4053;1032;1042;3013;757.1682615022288;783.017558076883;731.3572185877993;730.3574382138205;686.7327698846643
17;2313;2447;1409;2801;3135;836.0151926650708;866.3713197967579;805.7611296756256;804.5882250091042;753.6317324904276
18;2651;4964;1846;2958;3148;923.0592093220009;958.5838594658848;887.720100678499;886.3486603907446;827.0359144727802
19;2547;3394;1788;2705;3892;1019.1495253457547;1060.5934531853563;977.9982123162794;976.3993378688521;907.5754619372783
20;3497;6368;1705;1948;4117;1125.2226816586237;1173.4370300787657;1077.436164008569;1075.5770009182954;995.9410676415025
21;3590;4749;2298;4062;4056;1242.311383418;1298.260383543052;1186.9588161144586;1184.8020214060223;1092.8896876095225
22;3233;9630;3359;4764;4747;1371.5542013639956;1436.329400316246;1307.5834455962492;1305.0865824628463;1199.250775993802
23;3526;8271;2252;4118;5138;1514.2062059710822;1589.0424032819942;1440.4287731635934;1437.5436225894655;1315.9330829195383
24;4207;7933;2959;4954;4789;1671.650639380356;1757.943710760209;1586.7248259240898;1583.396602496183;1443.9320581365366
25;5322;7516;3921;5780;4093;1845.4116810910468;1944.738517697187;1747.8237115259024;1743.9901712810488;1584.3379085663005
26;5986;6875;3793;6294;4062;2037.1684291184858;2151.309202411364;1925.2113641815042;1920.8017862849188;1738.3443662918794
27;6557;7846;4648;3965;4281;2248.7701781883493;2379.733197486583;2120.520338875057;2115.4543652314414;1907.2582103693605
28;5560;7967;2603;4751;4801;2482.253097127645;2632.3025334821864;2335.5437416081586;2329.7300509975234;2092.5095998229003
29;4789;8195;4349;4615;4353;2739.858427437605;2911.5451877097616;2572.250353809392;2565.585147193826;2295.6632823147265
30;5249;7947;7636;5453;3783;3024.0522861852455;3220.2483818697574;2832.801049975454;2825.166318550809;2518.430718040774
31;5210;7134;4844;6156;3977;3337.5472037666686;3561.483942887097;3119.566569722325;3110.828111383163;2762.6831976510025
32;6203;6969;2102;6174;4674;3683.325494828457;3938.6358765254154;3435.146728383272;3425.1518767797306;3030.465988512002
33;5909;5478;5225;6082;4611;4064.6645655967154;4355.430271388449;3782.39112949139;3770.9661478213125;3324.013581484645
34;5974;5029;-17076;5936;3083;4485.164262037555;4815.9676517340995;4164.4214421964625;4151.368534910251;3645.7660726471127
35;5217;5267;849;3677;3116;4948.776328673616;5324.757893166934;4584.655294674811;4569.749172117414;3998.386741936415
36;4050;6278;2659;3834;3122;5459.8360910581105;5886.757754039825;5046.8317887692;5029.815717729767;4384.780837732898
37;4053;5002;-3489;4003;2861;6023.096309090839;6507.4111213970045;5555.038740800192;5535.620008223496;4808.115619745538
38;4782;5051;3855;4974;2357;6643.76337591491;7192.691909497564;6113.741400056828;6091.586078298109;5271.84165882715
39;4668;4754;3784;5323;2131;7327.535619838838;7949.149658352189;6727.812953687005;6702.539886497399;5779.715372439659
40;4585;3804;1566;4133;2392;8080.643859730915;8783.95760250346;7402.56621533011;7373.740058349022;6335.822741707675
41;4805;3268;1445;2821;2936;8909.89386868968;9704.963097353571;8143.786938835553;8110.910184768188;6944.60420827631
42;4316;2442;50747;2537;2615;9822.710560309262;10720.740034674873;8957.767774136088;8920.271467404378;7610.880543245219
43;3599;5103;3141;2082;2188;10827.183735348413;11840.642721404018;9851.343353977367;9808.576584503284;8339.879620552012
44;3039;7304;17448;2486;1983;11932.114369648953;13074.86075679653;10831.925204075204;10783.142640767499;9137.263794459484
45;3836;5891;3207;2866;1670;13147.061759234217;14434.473729097783;11907.536788907766;11851.88434058368;10009.157639987592
46;4204;887;12578;3380;1614;14482.389259980417;15931.505010015895;13086.846695263197;13023.345662535761;10962.175660642217
47;3951;6948;1891;3609;1832;15949.309323343292;17578.97280807235;14379.200665951304;14306.728614563588;12003.44956181704
48;4694;1536;3804;2458;2253;17559.924572436477;19390.936944577825;15794.650062835275;15711.91902729692;13140.653877006784
49;4092;3968;1094;1775;1977;19327.26507796693;21382.539100583563;17343.975313674306;17249.507021913407;14382.030493745262
50;3153;4211;2447;1785;1848;21265.31751639254;23570.033451943218;19038.703427095777;18930.800585423844;15736.410049871654
51;2972;4635;2666;2237;1546;23389.046782265403;25970.80478334836;20891.117075708957;20767.830590646987;17213.228902329276
52;2667;-10034;1799;2352;1542;25714.40411136657;28603.370214933668;22914.252445125112;22773.343803284995;18822.54144895476
53;3786;2915;-1709;2337;1114;28258.31951248884;31487.359036968755;25121.883571411778;24960.78201615514;20575.025468927783
54;3493;1729;2811;2055;1704;31038.67440768366;34643.46614788287;27528.48970180848;27344.243613658164;22481.97841831478
55;3491;1831;1678;1737;1639;34074.249520355894;38093.37232823325;30149.20133188261;29938.423035571388;24555.30337948211
56;3047;1308;633;1018;1635;37384.64262534528;41859.624282780205;32999.721701450624;32758.525394917924;26807.481281173994
57;2256;2144;3686;1144;1708;40990.14937026972;45965.46661891875;36096.21824956818;35820.15030224531;29251.52706254462
58;2729;518;3132;1304;1610;44911.6016559157;50434.617011897295;39455.17873609185;39139.140120537595;31900.927049918464
59;3370;1781;-1455;1478;1368;49170.155500990346;55290.97561620362;43093.227705876416;42731.3882846852;34769.55285673684
60;2646;1366;1218;1639;1158;53787.0205052355;60558.259029038134;47026.89632371634;46612.60073600127;37871.54958666582
61;3021;884;526;945;1022;58783.123992527566;66259.54950920261;51272.340749485506;50798.006633167504;41221.19339205388
62;2357;545;792;793;972;64178.70168376835;72416.75092092267;55845.003817842895;55302.01256148411;44832.71426455432
63;2324;1318;361;679;961;69992.8079871603;79049.94414918036;60759.21470324708;60137.79656816461;48720.08087067077
64;1739;996;562;685;952;76242.74111067991;86176.63648570247;66027.72443266152;65316.83959058259;52896.74219192445
65;2091;1122;1117;947;1186;82943.37852285776;93810.90429112033;71661.17358266188;70848.39179190547;57375.3238106179
66;2086;1410;4136;1284;1141;90106.42277692926;101962.43188554204;77667.4952061073;76738.8793457841;62167.27470705681
67;1872;721;741;1209;987;97739.56267992359;110635.45484319818;84051.25586866544;82991.25152052483;67282.46441757817
68;1965;772;531;1251;948;105845.5555547613;119827.62654739409;90812.93929013827;89604.28037817188;72728.72917996423
69;1900;3086;528;667;1035;114421.2477829853;129528.83346329162;97948.19719702155;96571.83092951693;78511.3685457519
70;1389;594;249;357;1182;123456.55924487031;139719.9938983642;105447.06749502059;103882.11386743074;84632.60067884762
71;1221;661;315;933;1141;132933.45569322567;150371.89081309695;113293.19966049756;111516.94715747166;91090.97568826021
72;1075;849;753;798;983;142824.9527817638;161444.0953763082;121463.11414364303;119451.07124626893;97880.77271233167
73;1444;643;521;933;839;153094.21228676717;172884.05009970043;129925.52972231271;127651.53872352547;104991.3769203476
74;1401;515;642;913;827;163693.76144760882;184626.39134610226;138640.80696994587;136077.23288000937;112406.67347912748
75;1327;0;513;620;786;174564.92481781123;196592.5891474095;147560.55239770105;144678.55811575602;120104.47542714748
76;1083;908;415;583;867;185637.5274376952;208690.99044558336;156627.4347984581;153397.3510421694;128056.01361404992
77;802;431;140;342;988;196829.9307721285;220817.33813292798;165775.26237438433;162167.05737541275;136225.52496739372
78;744;518;444;513;930;208049.47189595684;232855.8223215899;174929.36511743814;170913.2150225424;144569.97149782
79;1402;482;501;797;878;219193.350479851;244680.71264520864;184007.3176310697;179554.27387595893;153038.9286224674
80;888;1787;481;745;914;230149.99787911717;256158.5673747363;192920.0259829301;188002.76815700985;161574.677611808
81;992;466;267;460;989;240800.9362944229;267150.9928414086;201573.18294919035;196166.8384361498;170112.53356630294
82;789;482;756;638;993;251023.1067495384;277517.8948311797;209869.07307423846;203952.077493554;178581.43497245756
83;875;-372;546;431;922;260691.61208947384;287121.0932361565;217708.68823889477;211263.65647945367;186904.81126426836
84;675;859;-439;289;987;269682.7865127446;295828.16610969335;224994.09083024287;218008.65862913016;195001.73002326876
85;451;0;325;432;1195;277877.47659463104;303516.3419772888;231630.93448699635;224098.52994599086;202788.31190920665
86;813;1647;255;362;1459;285164.3886049814;310076.23780440644;237531.03666523125;229451.53870178273;210179.3879747878
87;665;658;173;353;1562;291443.34242782637;315415.26243622863;242614.88432465922;233995.13085968877;217090.35132379882
88;642;664;3343;741;1592;296628.2677647765;319460.47000873694;246813.9545265633;237668.06319914438;223439.139777597
89;652;251;594;738;1467;300649.7858777324;322160.7622480234;250072.72702030168;240422.2030756133;229148.27717444845
90;669;159;1794;286;1429;303457.24204878486;323488.2337613403;252350.28652434674;242223.90303370252;234146.8893529571
91;531;294;232;333;1304;305020.0826343763;323438.7098105898;253621.4358593238;243054.88415423947;238372.60100119296
92;300;394;407;213;1214;305328.51211874076;322031.37880650174;253877.2667339779;242912.5850981571;241773.22685640896
93;397;334;-647;342;1248;304393.4109831558;319307.60729705443;253125.16494645106;241809.96940376825;244308.1802489752
94;584;318;-3226;394;1192;302245.5390808959;315329.03585354565;251388.26626429253;239774.81631523318;245949.5284958656
95;593;332;4360;507;1212;298934.0925620942;310175.0646669589;248704.40785622806;236848.5485766758;246682.64701262888
96;516;240;581;407;1268;294524.7110993344;303939.9096451029;245124.64695228045;233084.6720527751;246506.45014481456
97;416;167;572;301;1492;289097.061127038;296729.38317892165;240711.4307822826;228546.91614177547;245433.1939455067
98;333;249;341;214;1458;282742.1340991158;288657.5713639383;235536.52742709237;223307.1810460454;243487.8676060226
99;200;314;274;350;1396;275559.399154554;279843.56110514665;229678.82156877263;217443.39177474278;240707.21974596943
100;318;427;553;318;1372;267653.9426687852;270408.34408731177;223222.07705623572;211037.354409309;237138.47859829417
101;321;502;625;555;1356;259133.71448995982;260472.0067128741;216252.75749334833;204172.69885344597;232837.83064371152
102;177;396;364;258;1374;250106.97337504444;250151.27683721908;208857.98601653075;196932.98049257923;227868.73625478722
103;518;323;801;348;1293;240680.01379921535;239557.47296801192;201123.71396319772;189399.9921257344;222300.16345622498
104;270;181;497;247;1192;230955.21643208765;228794.8744469411;193133.1054424984;181652.3211495918;216204.81111678187
105;197;219;390;192;1186;221029.44606972486;217959.50733649966;184965.22758069006;173764.1694028403;209657.3865867312
106;280;355;136;378;1172;210992.81598704538;207138.3236720206;176693.98930366494;165804.44277941145;202732.9974977024
107;283;585;663;345;1154;200927.79474727096;196408.73668711813;168387.3635931104;157836.09854527947;195505.7000455393
108;202;307;489;580;1148;190908.6322160485;185838.46776067672;160106.8683018385;149915.73262143228;188047.23234789967
109;379;363;586;770;1086;181001.07652386188;175485.65564129755;151907.27481707817;142093.381455368;180425.95396328985
110;163;334;787;601;1053;171262.340672701;165399.17769139018;143836.52472657358;134412.51004429365;172705.99898859518
111;346;232;619;687;1041;161741.27306745492;155619.1342650097;135935.81686950265;126910.1544873557;164946.63731388142
112;338;248;343;537;1024;152478.69348596135;146177.45162068837;128239.83525916432;119617.18723947901;157201.83311200523
113;301;334;142;503;1003;143507.85586058174;137098.56517795785;120777.08527260479;112558.6761606719;149519.98639559923
114;210;400;698;587;1016;134854.99845508335;128400.14382158531;113570.30909241505;105754.31002271309;141943.83519897322
115;328;419;268;630;1012;126539.9511988485;120093.83311722953;106636.95470345992;99218.86712903171;134510.49446408474
116;331;564;255;477;1008;118576.77430189209;112185.99102458634;99989.6769031492;92962.70516910747;127251.60863473498
117;-148;301;1263;687;992;110974.40244901247;104678.39740502967;93636.84778647548;86992.25670901842;120193.5952842669
118;264;200;448;256;947;103737.2788861025;97568.92778092035;87583.06714630402;81310.51699519409;113357.9568093984
119;224;301;-407;262;933;96865.9656035554;90852.17982371281;81829.65540796355;75917.51162633083;106761.6386695737
