date;United Kingdom;France;Belgium;Germany;Netherlands;Italy
2020-01-22;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-23;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-24;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-25;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-26;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-27;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-28;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-29;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-30;0.0;0.0;0.0;0.0;0.0;0.0
2020-01-31;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-01;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-02;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-03;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-04;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-05;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-06;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-07;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-08;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-09;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-10;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-11;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-12;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-13;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-14;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-15;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-16;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-17;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-18;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-19;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-20;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-21;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-22;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-23;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-24;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-25;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-26;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-27;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-28;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-29;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-01;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-02;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-03;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-04;0.0;0.0;0.0;0.0;0.0;0.0001
2020-03-05;0.0;0.0;0.0;0.0;0.0;0.0001
2020-03-06;0.0;0.0;0.0;0.0;0.0;0.0001
2020-03-07;0.0;0.0;0.0;0.0;0.0;0.0001
2020-03-08;0.0;0.0;0.0;0.0;0.0;0.0001
2020-03-09;0.0;0.0;0.0;0.0;0.0;0.0002
2020-03-10;0.0;0.0;0.0;0.0;0.0;0.0002
2020-03-11;0.0;0.0;0.0;0.0;0.0;0.0002
2020-03-12;0.0;0.0;0.0;0.0;0.0;0.0003
2020-03-13;0.0;0.0001;0.0;0.0;0.0001;0.0003
2020-03-14;0.0;0.0001;0.0001;0.0;0.0001;0.0004
2020-03-15;0.0;0.0001;0.0001;0.0001;0.0001;0.0004
2020-03-16;0.0001;0.0001;0.0001;0.0001;0.0001;0.0005
2020-03-17;0.0001;0.0001;0.0001;0.0001;0.0001;0.0005
2020-03-18;0.0001;0.0001;0.0001;0.0001;0.0001;0.0006
2020-03-19;0.0001;0.0002;0.0002;0.0001;0.0002;0.0007
2020-03-20;0.0001;0.0002;0.0002;0.0002;0.0002;0.0008
2020-03-21;0.0001;0.0002;0.0002;0.0002;0.0002;0.0009
2020-03-22;0.0002;0.0002;0.0003;0.0002;0.0003;0.001
2020-03-23;0.0002;0.0003;0.0003;0.0003;0.0003;0.0011
2020-03-24;0.0002;0.0003;0.0004;0.0003;0.0004;0.0012
2020-03-25;0.0003;0.0004;0.0004;0.0004;0.0004;0.0012
2020-03-26;0.0003;0.0004;0.0005;0.0004;0.0005;0.0014
2020-03-27;0.0004;0.0005;0.0006;0.0005;0.0006;0.0015
2020-03-28;0.0004;0.0006;0.0008;0.0006;0.0006;0.0016
2020-03-29;0.0004;0.0006;0.0009;0.0006;0.0007;0.0016
2020-03-30;0.0005;0.0007;0.001;0.0007;0.0007;0.0017
2020-03-31;0.0006;0.0008;0.0011;0.0007;0.0008;0.0018
2020-04-01;0.0007;0.0008;0.0012;0.0008;0.0008;0.0019
2020-04-02;0.0007;0.0009;0.0013;0.0009;0.0009;0.0019
2020-04-03;0.0008;0.001;0.0015;0.001;0.001;0.002
2020-04-04;0.0009;0.0007;0.0016;0.001;0.001;0.0021
2020-04-05;0.0009;0.0007;0.0017;0.0011;0.0011;0.0022
2020-04-06;0.001;0.0008;0.0018;0.0011;0.0011;0.0022
2020-04-07;0.0011;0.0007;0.0019;0.0012;0.0012;0.0023
2020-04-08;0.0012;0.0008;0.002;0.0012;0.0013;0.0023
2020-04-09;0.0012;0.0008;0.0022;0.0013;0.0013;0.0024
2020-04-10;0.0013;0.0008;0.0023;0.0014;0.0014;0.0025
2020-04-11;0.0013;0.0009;0.0024;0.0014;0.0015;0.0026
2020-04-12;0.0014;0.0016;0.0026;0.0014;0.0015;0.0026
2020-04-13;0.0015;0.0017;0.0026;0.0015;0.0016;0.0027
2020-04-14;0.0015;0.0019;0.0027;0.0015;0.0016;0.0027
2020-04-15;0.0016;0.002;0.0029;0.0015;0.0017;0.0028
2020-04-16;0.0017;0.0022;0.003;0.0016;0.0018;0.0028
2020-04-17;0.0018;0.0022;0.0031;0.0016;0.0018;0.0029
2020-04-18;0.0018;0.0022;0.0032;0.0017;0.0019;0.003
2020-04-19;0.0019;0.0023;0.0033;0.0017;0.0019;0.003
2020-04-20;0.002;0.0023;0.0035;0.0017;0.002;0.003
2020-04-21;0.002;0.0023;0.0035;0.0017;0.002;0.0031
2020-04-22;0.0021;0.0024;0.0036;0.0018;0.0021;0.0031
2020-04-23;0.0022;0.0023;0.0037;0.0018;0.0021;0.0032
2020-04-24;0.0023;0.0024;0.0038;0.0018;0.0021;0.0032
2020-04-25;0.0023;0.0024;0.0039;0.0018;0.0022;0.0033
2020-04-26;0.0024;0.0024;0.004;0.0019;0.0022;0.0033
2020-04-27;0.0024;0.0025;0.004;0.0019;0.0022;0.0033
2020-04-28;0.0025;0.0025;0.0041;0.0019;0.0022;0.0034
2020-04-29;0.0026;0.0025;0.0041;0.0019;0.0023;0.0034
2020-04-30;0.0027;0.0025;0.0042;0.0019;0.0023;0.0035
2020-05-01;0.0027;0.0025;0.0042;0.0019;0.0023;0.0035
2020-05-02;0.0028;0.0025;0.0043;0.0019;0.0023;0.0035
2020-05-03;0.0028;0.0025;0.0043;0.002;0.0023;0.0035
2020-05-04;0.0029;0.0025;0.0043;0.002;0.0024;0.0036
2020-05-05;0.0029;0.0026;0.0044;0.002;0.0024;0.0036
2020-05-06;0.003;0.0026;0.0044;0.002;0.0024;0.0036
2020-05-07;0.003;0.0026;0.0044;0.002;0.0024;0.0036
2020-05-08;0.0031;0.0026;0.0045;0.002;0.0024;0.0036
2020-05-09;0.0031;0.0026;0.0045;0.002;0.0025;0.0037
2020-05-10;0.0032;0.0026;0.0046;0.002;0.0025;0.0037
2020-05-11;0.0032;0.0027;0.0046;0.002;0.0025;0.0037
2020-05-12;0.0033;0.0027;0.0047;0.002;0.0025;0.0037
2020-05-13;0.0033;0.0027;0.0047;0.0021;0.0025;0.0037
2020-05-14;0.0033;0.0027;0.0047;0.0021;0.0025;0.0037
2020-05-15;0.0034;0.0027;0.0047;0.0021;0.0025;0.0038
2020-05-16;0.0034;0.0027;0.0048;0.0021;0.0025;0.0038
2020-05-17;0.0034;0.0027;0.0048;0.0021;0.0025;0.0038
2020-05-18;0.0035;0.0027;0.0048;0.0021;0.0025;0.0038
2020-05-19;0.0035;0.0027;0.0048;0.0021;0.0026;0.0038
2020-05-20;0.0036;0.0027;0.0048;0.0021;0.0026;0.0038
2020-05-21;0.0036;0.0027;0.0049;0.0021;0.0026;0.0038
2020-05-22;0.0036;0.0027;0.0049;0.0021;0.0026;0.0038
2020-05-23;0.0037;0.0027;0.0049;0.0021;0.0026;0.0039
2020-05-24;0.0037;0.0027;0.0049;0.0021;0.0026;0.0039
2020-05-25;0.0037;0.0027;0.005;0.0021;0.0026;0.0039
2020-05-26;0.0037;0.0027;0.005;0.0022;0.0026;0.0039
2020-05-27;0.0038;0.0027;0.005;0.0022;0.0026;0.0039
2020-05-28;0.0038;0.0028;0.005;0.0022;0.0027;0.0039
2020-05-29;0.0038;0.0028;0.005;0.0022;0.0027;0.0039
2020-05-30;0.0038;0.0028;0.005;0.0022;0.0027;0.0039
2020-05-31;0.0038;0.0028;0.0051;0.0022;0.0027;0.0039
2020-06-01;0.0039;0.0028;0.0051;0.0022;0.0027;0.0039
2020-06-02;0.0039;0.0028;0.0051;0.0022;0.0027;0.0039
2020-06-03;0.0039;0.0028;0.0051;0.0022;0.0027;0.0039
2020-06-04;0.0039;0.0028;0.0051;0.0022;0.0027;0.0039
2020-06-05;0.0039;0.0029;0.0051;0.0022;0.0027;0.0039
2020-06-06;0.0039;0.0029;0.0051;0.0022;0.0027;0.0039
2020-06-07;0.004;0.0029;0.0051;0.0022;0.0027;0.0039
2020-06-08;0.004;0.0029;0.0051;0.0022;0.0028;0.004
2020-06-09;0.004;0.0029;0.0051;0.0022;0.0028;0.004
2020-06-10;0.004;0.0029;0.0052;0.0022;0.0028;0.004
2020-06-11;0.004;0.0029;0.0052;0.0022;0.0028;0.004
2020-06-12;0.004;0.0029;0.0052;0.0022;0.0028;0.004
2020-06-13;0.004;0.0029;0.0052;0.0022;0.0028;0.004
2020-06-14;0.0041;0.0029;0.0052;0.0022;0.0028;0.004
2020-06-15;0.0041;0.0029;0.0052;0.0022;0.0028;0.004
2020-06-16;0.0041;0.0029;0.0052;0.0022;0.0028;0.004
2020-06-17;0.0041;0.0029;0.0052;0.0022;0.0028;0.004
2020-06-18;0.0041;0.0029;0.0052;0.0023;0.0028;0.004
2020-06-19;0.0041;0.003;0.0052;0.0023;0.0029;0.004
2020-06-20;0.0041;0.003;0.0052;0.0023;0.0029;0.004
2020-06-21;0.0042;0.003;0.0052;0.0023;0.0029;0.004
2020-06-22;0.0042;0.003;0.0052;0.0023;0.0029;0.004
2020-06-23;0.0042;0.003;0.0053;0.0023;0.0029;0.004
2020-06-24;0.0042;0.003;0.0053;0.0023;0.0029;0.004
2020-06-25;0.0042;0.003;0.0053;0.0023;0.0029;0.004
2020-06-26;0.0042;0.003;0.0053;0.0023;0.0029;0.004
2020-06-27;0.0042;0.003;0.0053;0.0023;0.0029;0.004
2020-06-28;0.0042;0.003;0.0053;0.0023;0.0029;0.004
2020-06-29;0.0042;0.003;0.0053;0.0023;0.0029;0.004
2020-06-30;0.0042;0.003;0.0053;0.0023;0.0029;0.004
