date;Spain;France;Germany;Turkey;Italy
2020-01-22;0;0;0;0;0
2020-01-23;0;0;0;0;0
2020-01-24;0;2;0;0;0
2020-01-25;0;3;0;0;0
2020-01-26;0;3;0;0;0
2020-01-27;0;3;1;0;0
2020-01-28;0;4;4;0;0
2020-01-29;0;5;4;0;0
2020-01-30;0;5;4;0;0
2020-01-31;0;5;5;0;2
2020-02-01;1;6;8;0;2
2020-02-02;1;6;10;0;2
2020-02-03;1;6;12;0;2
2020-02-04;1;6;12;0;2
2020-02-05;1;6;12;0;2
2020-02-06;1;6;12;0;2
2020-02-07;1;6;13;0;3
2020-02-08;1;11;13;0;3
2020-02-09;2;11;14;0;3
2020-02-10;2;11;14;0;3
2020-02-11;2;11;16;0;3
2020-02-12;2;11;16;0;3
2020-02-13;2;11;16;0;3
2020-02-14;2;11;16;0;3
2020-02-15;2;12;16;0;3
2020-02-16;2;12;16;0;3
2020-02-17;2;12;16;0;3
2020-02-18;2;12;16;0;3
2020-02-19;2;12;16;0;3
2020-02-20;2;12;16;0;3
2020-02-21;2;12;16;0;20
2020-02-22;2;12;16;0;62
2020-02-23;2;12;16;0;155
2020-02-24;2;12;16;0;229
2020-02-25;6;14;16;0;322
2020-02-26;13;18;21;0;453
2020-02-27;15;38;26;0;655
2020-02-28;32;57;53;0;888
2020-02-29;45;100;66;0;1128
2020-03-01;84;130;117;0;1694
2020-03-02;120;191;150;0;2036
2020-03-03;165;212;188;0;2502
2020-03-04;222;288;240;0;3089
2020-03-05;259;426;349;0;3858
2020-03-06;400;616;534;0;4636
2020-03-07;500;948;684;0;5883
2020-03-08;673;1125;847;0;7375
2020-03-09;1073;1411;1112;0;9172
2020-03-10;1695;1783;1296;0;10149
2020-03-11;2277;2293;1567;1;12462
2020-03-12;2277;2293;2369;1;15113
2020-03-13;5232;3681;3062;5;17660
2020-03-14;6391;4496;3795;5;21157
2020-03-15;7798;4532;4838;6;24747
2020-03-16;9942;6683;6012;18;27980
2020-03-17;11748;7715;7156;47;31506
2020-03-18;13910;9124;8198;98;35713
2020-03-19;17963;10970;10999;192;41035
