date;United Kingdom;France;Belgium
2021-01-03;0.03;0.0;0.0
2021-01-04;0.03;0.0;0.0
2021-01-05;0.03;0.0;0.0
2021-01-06;0.03;0.0;0.0
2021-01-07;0.03;0.0;0.0
2021-01-08;0.03;0.0;0.0
2021-01-09;0.03;0.0;0.0
2021-01-10;0.58;0.0;0.0
2021-01-11;0.61;0.0;0.0
2021-01-12;0.64;0.0;0.0
2021-01-13;0.65;0.0;0.0
2021-01-14;0.66;0.0;0.0
2021-01-15;0.67;0.0;0.0
2021-01-16;0.67;0.0;0.0
2021-01-17;0.67;0.0;0.0
2021-01-18;0.6799999999999999;0.0;0.0
2021-01-19;0.69;0.0;0.0
2021-01-20;0.69;0.0;0.01
2021-01-21;0.69;0.0;0.01
2021-01-22;0.7000000000000001;0.0;0.01
2021-01-23;0.7000000000000001;0.0;0.01
2021-01-24;0.7000000000000001;0.0;0.01
2021-01-25;0.7000000000000001;0.0;0.01
2021-01-26;0.7100000000000001;0.01;0.02
2021-01-27;0.7100000000000001;0.02;0.05
2021-01-28;0.7100000000000001;0.04;0.12
2021-01-29;0.7100000000000001;0.06;0.19
2021-01-30;0.73;0.06999999999999999;0.22
2021-01-31;0.74;0.06999999999999999;0.22
2021-02-01;0.74;0.1;0.25
2021-02-02;0.74;0.15;0.37
2021-02-03;0.75;0.21;0.5499999999999999
2021-02-04;0.75;0.27999999999999997;0.76
2021-02-05;0.76;0.35000000000000003;0.95
2021-02-06;0.76;0.37;1.0
2021-02-07;0.76;0.37;1.03
2021-02-08;0.77;0.44;1.09
2021-02-09;0.77;0.5499999999999999;1.26
2021-02-10;0.7799999999999999;0.66;1.4200000000000002
2021-02-11;0.79;0.8099999999999999;1.67
2021-02-12;0.8;0.9199999999999999;1.91
2021-02-13;0.8;0.95;1.97
2021-02-14;0.8;0.96;1.9900000000000002
2021-02-15;0.8099999999999999;1.0699999999999998;2.09
2021-02-16;0.83;1.22;2.18
2021-02-17;0.8500000000000001;1.38;2.29
2021-02-18;0.88;1.55;2.44
2021-02-19;0.8999999999999999;1.69;2.55
2021-02-20;0.9199999999999999;1.73;2.56
2021-02-21;0.9299999999999999;1.7399999999999998;2.56
2021-02-22;0.96;1.8499999999999999;2.59
2021-02-23;1.0;1.97;2.65
2021-02-24;1.04;2.09;2.73
2021-02-25;1.09;2.23;2.8000000000000003
2021-02-26;1.1400000000000001;2.33;2.86
2021-02-27;1.18;2.37;2.87
2021-02-28;1.21;2.37;2.87
2021-03-01;1.26;2.45;2.8899999999999997
2021-03-02;1.3299999999999998;2.55;2.9499999999999997
2021-03-03;1.43;2.65;3.0
2021-03-04;1.54;2.75;3.0700000000000003
2021-03-05;1.6199999999999999;2.8400000000000003;3.1300000000000003
2021-03-06;1.67;2.87;3.1300000000000003
2021-03-07;1.7000000000000002;2.88;3.1399999999999997
2021-03-08;1.76;2.9499999999999997;3.15
2021-03-09;1.87;3.04;3.2099999999999995
2021-03-10;2.01;3.1199999999999997;3.29
2021-03-11;2.15;3.2199999999999998;3.38
2021-03-12;2.2800000000000002;3.29;3.49
2021-03-13;2.36;3.32;3.51
2021-03-14;2.4;3.32;3.52
2021-03-15;2.4699999999999998;3.37;3.56
2021-03-16;2.62;3.4299999999999997;3.5999999999999996
2021-03-17;2.8000000000000003;3.49;3.6700000000000004
2021-03-18;2.9899999999999998;3.55;3.81
2021-03-19;3.18;3.61;3.9800000000000004
2021-03-20;3.32;3.63;3.9899999999999998
2021-03-21;3.39;3.63;3.9899999999999998
2021-03-22;3.52;3.6799999999999997;4.04
2021-03-23;3.7699999999999996;3.74;4.08
2021-03-24;4.130000000000001;3.81;4.17
2021-03-25;4.4799999999999995;3.88;4.34
2021-03-26;4.9;3.94;4.5
2021-03-27;5.25;3.9600000000000004;4.54
2021-03-28;5.47;3.9699999999999998;4.54
2021-03-29;5.72;4.05;4.590000000000001
2021-03-30;6.140000000000001;4.15;4.64
2021-03-31;6.710000000000001;4.26;4.73
2021-04-01;7.380000000000001;4.390000000000001;4.9399999999999995
