date;United Kingdom;France;Belgium
2021-01-03;22002.0;0.0;0.0
2021-01-04;22002.0;0.0;0.0
2021-01-05;22002.0;0.0;0.0
2021-01-06;22002.0;0.0;0.0
2021-01-07;22002.0;0.0;1.0
2021-01-08;22002.0;0.0;1.0
2021-01-09;22002.0;0.0;1.0
2021-01-10;391399.0;0.0;1.0
2021-01-11;412167.0;0.0;1.0
2021-01-12;428232.0;0.0;1.0
2021-01-13;437977.0;0.0;2.0
2021-01-14;443234.0;0.0;2.0
2021-01-15;447442.0;0.0;2.0
2021-01-16;450062.0;78.0;4.0
2021-01-17;452301.0;120.0;4.0
2021-01-18;456866.0;283.0;113.0
2021-01-19;460625.0;410.0;298.0
2021-01-20;464036.0;569.0;721.0
2021-01-21;466796.0;704.0;735.0
2021-01-22;468617.0;866.0;791.0
2021-01-23;469660.0;916.0;798.0
2021-01-24;470478.0;943.0;798.0
2021-01-25;472446.0;2161.0;798.0
2021-01-26;474156.0;5271.0;2506.0
2021-01-27;476485.0;10868.0;5936.0
2021-01-28;478254.0;25228.0;13438.0
2021-01-29;480432.0;42521.0;22387.0
2021-01-30;491053.0;46746.0;25262.0
2021-01-31;494209.0;48425.0;25590.0
2021-02-01;496796.0;69553.0;29350.0
2021-02-02;498962.0;104121.0;43115.0
2021-02-03;501957.0;141081.0;63748.0
2021-02-04;505993.0;191141.0;87643.0
2021-02-05;510057.0;236482.0;110282.0
2021-02-06;511719.0;246881.0;115512.0
2021-02-07;512581.0;251922.0;118576.0
2021-02-08;516392.0;297915.0;126312.0
2021-02-09;519553.0;370322.0;145828.0
2021-02-10;524447.0;447017.0;164592.0
2021-02-11;530094.0;546161.0;192694.0
2021-02-12;534869.0;620437.0;220260.0
2021-02-13;537715.0;639929.0;228296.0
2021-02-14;539630.0;647119.0;230139.0
2021-02-15;546165.0;723626.0;241712.0
2021-02-16;558577.0;824371.0;252155.0
2021-02-17;573724.0;927341.0;264731.0
2021-02-18;589591.0;1045902.0;281570.0
2021-02-19;604885.0;1136635.0;294500.0
2021-02-20;615148.0;1165063.0;296073.0
2021-02-21;624325.0;1171436.0;296336.0
2021-02-22;642788.0;1244573.0;299150.0
2021-02-23;669105.0;1328631.0;306845.0
2021-02-24;700718.0;1409760.0;315033.0
2021-02-25;736037.0;1501180.0;323890.0
2021-02-26;768810.0;1572190.0;330582.0
2021-02-27;796132.0;1594170.0;331348.0
2021-02-28;815816.0;1598584.0;331594.0
2021-03-01;844098.0;1651388.0;334298.0
2021-03-02;895412.0;1717634.0;341065.0
2021-03-03;963862.0;1783185.0;347046.0
2021-03-04;1034068.0;1852066.0;355441.0
2021-03-05;1090840.0;1915459.0;361788.0
2021-03-06;1122402.0;1933283.0;362379.0
2021-03-07;1142643.0;1938764.0;362556.0
2021-03-08;1181431.0;1989572.0;364516.0
2021-03-09;1254353.0;2046350.0;371540.0
2021-03-10;1351515.0;2103565.0;380527.0
2021-03-11;1445078.0;2166683.0;390413.0
2021-03-12;1532754.0;2220189.0;403619.0
2021-03-13;1584909.0;2235473.0;405668.0
2021-03-14;1610280.0;2238910.0;406940.0
2021-03-15;1663646.0;2271583.0;411559.0
2021-03-16;1759445.0;2311124.0;415690.0
2021-03-17;1879054.0;2349950.0;424401.0
2021-03-18;2011070.0;2394614.0;440924.0
2021-03-19;2136795.0;2432100.0;459510.0
2021-03-20;2228772.0;2443887.0;460857.0
2021-03-21;2281384.0;2446515.0;461368.0
2021-03-22;2363684.0;2480815.0;466484.0
2021-03-23;2532839.0;2523221.0;472035.0
2021-03-24;2775481.0;2567090.0;482442.0
2021-03-25;3009863.0;2611844.0;501951.0
2021-03-26;3293517.0;2653755.0;520568.0
2021-03-27;3532378.0;2670408.0;524302.0
2021-03-28;3679972.0;2674145.0;525247.0
2021-03-29;3848202.0;2728455.0;530441.0
2021-03-30;4125884.0;2798141.0;536005.0
2021-03-31;4513458.0;2871092.0;547057.0
2021-04-01;4958874.0;2958944.0;571539.0
2021-04-02;5205505.0;3051071.0;589447.0
2021-04-03;5384418.0;3112947.0;590784.0
2021-04-04;5432126.0;3131612.0;590849.0
2021-04-05;5496716.0;3142621.0;593479.0
2021-04-06;5683509.0;3250518.0;602539.0
2021-04-07;6091905.0;3366021.0;612213.0
2021-04-08;6541174.0;3487479.0;628480.0
2021-04-09;6991310.0;3604009.0;643121.0
